,author,title,description,url,urlToImage,publishedAt,content,source_id,source_name
0,Robert Hart,I went looking for the AI weed vape that gives you Bitcoin for smoking,"The crypto weed vape found me on 4/20, the high holiday of cannabis enthusiasts everywhere. It arrived over Slack with the thumbnail of a man exhaling a plume of vapor, the words ""every hit delivers Bitcoin"" emblazoned across it. It claimed to be advertising …",https://www.theverge.com/ai-artificial-intelligence/933916/ai-powered-crypto-cannabis-vape,https://platform.theverge.com/wp-content/uploads/sites/2/2026/05/268553_We_went_looking_for_the_weed_vape_that_gives_you_Bitcoin_for_smoking_CVirginia2.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2026-05-29T17:09:12Z,"<ul><li></li></ul>
Gudtrip is the most ridiculous AI/crypto/weed product to ever touch the internet. Could it possibly be real?
by
Robert HartClose
Posts from this author will be added to your da… [+9574 chars]",the-verge,The Verge
1,Kyle Torpey,Why Would Someone Publicly Burn $8 Million Worth of Bitcoin? Theories Are Flying,And another question: How do you burn bitcoin?,https://gizmodo.com/why-would-someone-publicly-burn-8-million-worth-of-bitcoin-theories-are-flying-2000764705,https://gizmodo.com/app/uploads/2026/05/bitcoin-fire-1200x675.jpg,2026-05-28T20:12:23Z,"Earlier this week, someone burned 107 bitcoin (currently worth roughly $7.8 million) by sending the coins to an address where they would become provably unspendable. Initially, the public lighting of… [+5204 chars]",,Gizmodo.com
2,Kyle Torpey,The Word of God Now Comes With Bitcoin Rewards and an $8.99 Premium Tier,"In 2026, even the Bible is gamified.",https://gizmodo.com/the-word-of-god-now-comes-with-bitcoin-rewards-and-an-8-99-premium-tier-2000773017,https://gizmodo.com/app/uploads/2026/06/Orange-Bible-Bitcoin-Rewards-1200x675.jpg,2026-06-20T19:26:03Z,"At first glance, Orange Bible looks like a standard scripture app. But this app is not just for followers of Jesus Christ, it’s also for followers of Satoshi Nakamoto. On top of that, it shows that e… [+5059 chars]",,Gizmodo.com
3,Kyle Torpey,"Largest US Banks to Launch Tokenization Network to Fight Back Against Crypto, Stablecoin Startups",The traditional banking industry has a long history of consortium blockchain systems that haven’t fared well.,https://gizmodo.com/largest-us-banks-to-launch-tokenization-network-to-fight-back-against-crypto-stablecoin-startups-2000768384,https://gizmodo.com/app/uploads/2025/10/gizmodo-social-1200x675-1.jpg,2026-06-06T13:36:30Z,The largest banks in the United States are working on a tokenized deposit network that is intended to launch in the first half of next year through their co-owned payment network company Clearing Hou… [+4539 chars],,Gizmodo.com
4,Rhett Jones,Crypto Promoters Say Blockchain Is the Future of AI. Researchers Aren’t Buying It,Is crypto really the secret sauce that AI is missing?,https://gizmodo.com/crypto-promoters-say-blockchain-is-the-future-of-ai-researchers-arent-buying-it-2000769680,https://gizmodo.com/app/uploads/2026/03/robot-hodling-bitcoin-1200x675.jpg,2026-06-10T12:10:43Z,"The crypto industry has been filled with many promoters touting dubious use cases of blockchain technology over the years. At various times in its history, crypto was supposed to revolutionize everyt… [+6186 chars]",,Gizmodo.com
5,Kyle Torpey,Hunter Biden’s New Crypto Obsession May Have a Depressingly Familiar Next Act,"“I believe in the meme token,"" Biden recently told Candace Owens.",https://gizmodo.com/hunter-bidens-new-crypto-obsession-may-have-a-depressingly-familiar-next-act-2000768494,https://gizmodo.com/app/uploads/2025/10/gizmodo-social-1200x675-1.jpg,2026-06-07T19:21:16Z,"Hunter Biden, the son of former U.S. President Joe Biden, has been posting about his love of all things crypto and blockchain on X, going as far as to say that he previously wanted to sell his art fo… [+4496 chars]",,Gizmodo.com
6,EditorDavid,Bitcoin Has Lost Nearly Half Its Value in 11 Months,"The price of bitcoin dropped 13% down to $64,394 just in June — but there's more bad news, reports CNBC."" ""Bitcoin has lost nearly half its value since reaching a record high above $123,000 in July 2025.""


While previous bitcoin selloffs were often followed …",https://slashdot.org/story/26/06/14/0817238/bitcoin-has-lost-nearly-half-its-value-in-11-months,https://a.fsdn.com/sd/topics/bitcoin_64.png,2026-06-14T11:34:00Z,"While previous bitcoin selloffs were often followed by large rebounds in price, the latest decline may prompt some investors to revisit why they own bitcoin in the first place, [says Daniel Sotiroff,… [+896 chars]",,Slashdot.org
7,EditorDavid,Bitcoin Drops Again. Skeptical Investment Strategist Calls It 'Useless',"Friday Bitcoin closed at just $59,948 — dropping 19% just for June and more than 50% lower than its record high in October of $124,310. 

To commemorate the occasion CNBC interviewed long-time bitcoin skeptic Jeremy Grantham, reporting that the 87-year-old co…",https://news.slashdot.org/story/26/06/27/0257237/bitcoin-drops-again-skeptical-investment-strategist-calls-it-useless,https://a.fsdn.com/sd/topics/bitcoin_64.png,2026-06-27T08:00:00Z,"Friday Bitcoin closed at just $59,948 — dropping 19% just for June and more than 50% lower than its record high in October of $124,310.To commemorate the occasion CNBC interviewed long-time bitcoin s… [+1436 chars]",,Slashdot.org
8,Ece Yildirim,Republicans Claim Anti-Data Center Movement Is a Chinese Psy-Op,The lawmakers are asking the FBI to step in.,https://gizmodo.com/republicans-claim-anti-data-center-movement-is-a-chinese-psy-op-2000767611,https://gizmodo.com/app/uploads/2026/06/GettyImages-2277371283-1200x675.jpg,2026-06-05T11:35:54Z,"A group of Republican lawmakers is demanding that the FBI investigate whether rising anti-AI sentiment among the American public is a foreign-influence operation led by China.
“The Committee on Ener… [+3510 chars]",,Gizmodo.com
9,Kyle Torpey,Matt ‘Fortune Favors the Brave’ Damon Is Back for More Crypto Fun,This time Ripple is laundering its reputation through Matt Damon and his Water.org charity.,https://gizmodo.com/matt-fortune-favors-the-brave-damon-is-back-for-more-crypto-fun-2000776910,https://gizmodo.com/app/uploads/2023/03/3de43108876ec4e61c409ec81e24964b.jpg,2026-06-25T09:00:43Z,"Matt Damon is returning to the crypto promotional circuit, although the sales pitch now comes wrapped in the considerably friendlier packaging of clean water and charitable giving. According to Bloom… [+8736 chars]",,Gizmodo.com
