company_name,ratings,rating_count,highly_rated,critical_rated,location,salaries,interviews,jobs,benefits
TCS,3.3,1.2L,Job Security,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Bengaluru +448 other locations,NaN,NaN,NaN,NaN
Accenture,3.7,75k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Bengaluru +261 other locations,NaN,NaN,NaN,NaN
Wipro,3.6,66.2k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Hyderabad +375 other locations,NaN,NaN,NaN,NaN
Cognizant,3.7,62.5k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Hyderabad +233 other locations,NaN,NaN,NaN,NaN
Capgemini,3.6,54.6k,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",IT Services & Consulting | Bengaluru +187 other locations,NaN,NaN,NaN,NaN
HDFC Bank,3.8,53.7k,"Job Security, Skill Development","Promotions, Salary",Banking | Mumbai +1862 other locations,NaN,NaN,NaN,NaN
Infosys,3.5,49.8k,Job Security,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Bengaluru +247 other locations,NaN,NaN,NaN,NaN
HCLTech,3.4,46.9k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Chennai +232 other locations,NaN,NaN,NaN,NaN
ICICI Bank,3.9,46.6k,"Job Security, Promotions, Skill Development",NaN,Banking | Mumbai +1447 other locations,NaN,NaN,NaN,NaN
Tech Mahindra,3.3,44.1k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Hyderabad +323 other locations,NaN,NaN,NaN,NaN
Genpact,3.6,43.3k,Job Security,"Promotions, Salary, Work Satisfaction",Analytics & KPO | Hyderabad +181 other locations,NaN,NaN,NaN,NaN
TP,3.9,39.5k,"Work Life Balance, Job Security, Skill Development",NaN,BPO | Mumbai +259 other locations,NaN,NaN,NaN,NaN
Jio,4.4,34k,"Job Security, Skill Development, Company Culture",NaN,Telecom | Mumbai +1965 other locations,NaN,NaN,NaN,NaN
Axis Bank,3.6,34k,NaN,"Promotions, Work Satisfaction, Company Culture",Banking | Mumbai +1532 other locations,NaN,NaN,NaN,NaN
Concentrix Corporation,3.6,32.8k,Job Security,"Promotions, Salary, Work Satisfaction",BPO | Bengaluru +185 other locations,NaN,NaN,NaN,NaN
Amazon,3.9,32.3k,"Company Culture, Work Life Balance, Salary",Promotions,Internet | Bengaluru +521 other locations,NaN,NaN,NaN,NaN
Reliance Retail,3.9,27.7k,"Job Security, Skill Development, Work Life Balance",Promotions,Retail | Mumbai +1167 other locations,NaN,NaN,NaN,NaN
iEnergizer,4.6,27.4k,"Company Culture, Work Life Balance, Work Satisfaction",NaN,BPO | Noida +55 other locations,NaN,NaN,NaN,NaN
LTIMindtree,3.6,26.9k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Bengaluru +145 other locations,NaN,NaN,NaN,NaN
HDB Financial Services,3.9,26.2k,NaN,"Promotions, Salary",NBFC | Mumbai +1098 other locations,NaN,NaN,NaN,NaN
IBM,3.9,26.2k,"Work Life Balance, Company Culture, Job Security",Promotions,IT Services & Consulting | Bengaluru +162 other locations,NaN,NaN,NaN,NaN
Larsen & Toubro Limited,3.9,24.3k,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",Engineering & Construction | Mumbai +779 other locations,NaN,NaN,NaN,NaN
Deloitte,3.6,23.9k,NaN,"Promotions, Work Life Balance, Work Satisfaction",Management Consulting | Hyderabad +186 other locations,NaN,NaN,NaN,NaN
Kotak Mahindra Bank,3.6,22.9k,NaN,"Promotions, Work Satisfaction, Company Culture",Banking | Mumbai +695 other locations,NaN,NaN,NaN,NaN
Reliance Industries,4.0,20.6k,"Job Security, Work Life Balance, Skill Development",Promotions,Oil & Gas | Jamnagar +822 other locations,NaN,NaN,NaN,NaN
Vodafone Idea,3.9,17.8k,"Salary, Company Culture, Work Life Balance",Promotions,Telecom | Pune +707 other locations,NaN,NaN,NaN,NaN
Bharti Airtel,3.8,17.4k,NaN,Promotions,Telecom | Gurugram +797 other locations,NaN,NaN,NaN,NaN
BYJU'S,3.2,16.4k,NaN,"Job Security, Company Culture, Work Life Balance",EdTech | Bengaluru +321 other locations,NaN,NaN,NaN,NaN
WNS,3.3,15.6k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Pune +67 other locations,NaN,NaN,NaN,NaN
IDFC FIRST Bank,4.0,15.2k,"Salary, Work Life Balance, Skill Development",NaN,Banking | Mumbai +743 other locations,NaN,NaN,NaN,NaN
Ernst & Young,3.4,14.9k,NaN,"Promotions, Work Life Balance, Work Satisfaction",Management Consulting | Bengaluru +135 other locations,NaN,NaN,NaN,NaN
IndusInd Bank,3.4,14.6k,NaN,"Promotions, Company Culture, Work Satisfaction",Banking | Mumbai +805 other locations,NaN,NaN,NaN,NaN
AU Small Finance Bank,3.8,14.5k,Salary,NaN,Banking | Jaipur +809 other locations,NaN,NaN,NaN,NaN
Tata Motors,4.1,14.4k,"Job Security, Company Culture, Work Life Balance",Promotions,Automobile | Pune +507 other locations,NaN,NaN,NaN,NaN
Bajaj Finserv,3.9,13.5k,"Salary, Skill Development, Job Security",NaN,NBFC | Pune +1217 other locations,NaN,NaN,NaN,NaN
Muthoot FinCorp,4.5,13.3k,"Company Culture, Work Life Balance, Job Security",NaN,NBFC | Bengaluru +1127 other locations,NaN,NaN,NaN,NaN
Flipkart,3.9,13.2k,"Skill Development, Salary",Promotions,Internet | Bengaluru +560 other locations,NaN,NaN,NaN,NaN
PwC,3.3,13k,NaN,"Promotions, Work Life Balance, Work Satisfaction",Management Consulting | Bengaluru +138 other locations,NaN,NaN,NaN,NaN
HDFC Life,3.8,12.4k,Skill Development,NaN,Insurance | Mumbai +722 other locations,NaN,NaN,NaN,NaN
Mahindra & Mahindra,4.0,12.3k,"Job Security, Skill Development, Company Culture",Promotions,Automobile | Pune +570 other locations,NaN,NaN,NaN,NaN
Infosys BPM,3.5,12.3k,Job Security,"Promotions, Salary, Work Satisfaction",BPO | Bengaluru +95 other locations,NaN,NaN,NaN,NaN
DXC Technology,3.6,12.2k,Work Life Balance,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Bengaluru +132 other locations,NaN,NaN,NaN,NaN
Bandhan Bank,3.7,11.5k,NaN,"Promotions, Work Satisfaction, Company Culture",Banking | Kolkata +1024 other locations,NaN,NaN,NaN,NaN
Digitide Solutions,3.5,10.5k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Hyderabad +275 other locations,NaN,NaN,NaN,NaN
Yes Bank,3.7,10.5k,NaN,"Job Security, Promotions, Company Culture",Banking | Mumbai +545 other locations,NaN,NaN,NaN,NaN
Mphasis,3.3,10.4k,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Bengaluru +63 other locations,NaN,NaN,NaN,NaN
Tata Steel,4.0,10.1k,"Work Life Balance, Job Security, Company Culture",Promotions,Iron & Steel | Jamshedpur +228 other locations,NaN,NaN,NaN,NaN
Quess,3.8,9.9k,NaN,"Promotions, Job Security",Recruitment | Bengaluru +766 other locations,NaN,NaN,NaN,NaN
Asian Paints,3.9,9.8k,"Salary, Skill Development, Job Security","Promotions, Work Life Balance",Chemicals | Mumbai +563 other locations,NaN,NaN,NaN,NaN
UltraTech Cement,4.1,9.7k,"Job Security, Skill Development, Company Culture",Promotions,Building Material | Mumbai +546 other locations,NaN,NaN,NaN,NaN
Startek,3.0,9.7k,NaN,"Promotions, Work Satisfaction, Salary",BPO | Bengaluru +104 other locations,NaN,NaN,NaN,NaN
Maruti Suzuki,4.1,9.7k,"Job Security, Salary, Company Culture",NaN,Automobile | Gurugram +462 other locations,NaN,NaN,NaN,NaN
Paytm,3.2,9.5k,NaN,"Job Security, Company Culture, Promotions",FinTech | Noida +430 other locations,NaN,NaN,NaN,NaN
Bajaj Finance,3.9,9.5k,"Salary, Skill Development, Job Security",NaN,NBFC | Pune +1009 other locations,NaN,NaN,NaN,NaN
Shriram Finance,3.9,9.3k,"Job Security, Work Life Balance",Promotions,NBFC | Chennai +1127 other locations,NaN,NaN,NaN,NaN
Sutherland Global Services,3.3,9.3k,NaN,"Promotions, Work Satisfaction, Skill Development",BPO | Chennai +82 other locations,NaN,NaN,NaN,NaN
Coforge,3.3,9k,NaN,"Promotions, Work Satisfaction, Job Security",IT Services & Consulting | Hyderabad +113 other locations,NaN,NaN,NaN,NaN
Equitas Small Finance Bank,4.3,9k,"Job Security, Company Culture, Work Life Balance",NaN,Banking | Chennai +486 other locations,NaN,NaN,NaN,NaN
Wells Fargo,3.6,8.9k,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",Financial Services | Bengaluru +27 other locations,NaN,NaN,NaN,NaN
Cipla,4.1,8.8k,"Salary, Work Life Balance, Skill Development",NaN,Pharma | Mumbai +296 other locations,NaN,NaN,NaN,NaN
EXL Service,3.6,8.8k,Job Security,"Promotions, Salary, Skill Development",Analytics & KPO | Noida +62 other locations,NaN,NaN,NaN,NaN
Ericsson,3.9,8.5k,"Work Life Balance, Company Culture","Promotions, Salary",Telecom | Noida +161 other locations,NaN,NaN,NaN,NaN
Samsung,3.9,8.4k,"Work Life Balance, Salary",Promotions,Consumer Electronics & Appliances | Noida +582 other locations,NaN,NaN,NaN,NaN
